Sr_no,Age,Gender,EmploymentStatus,Monthly Household Income,Household Size,Current Residential Area,Type of Residence,Current Residence Duration,Factors Influencing Residential Choice,Transportation Mode,Average Commute Time_1way,Distance traveled_1w,Average weekday trips per person,Travel Purpose,Factors influencing transportation choice
336,46-55 Years ,Female ,Homemaker,"₹50,001 - ₹75,000 ",5,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability ",Autorickshaw/ Cab ,10-15 minutes ,1-5 km ,1-2 trips ,Work,"Cost , Travel time, Convenience "
337,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Convenience , Availability of options, Availability of Parking , Safety , Going to multiple locations in same trip"
338,46-55 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",3,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety "
339,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Travel time, Availability of Parking , Safety "
340,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
341,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Fringe,Independent House ,5-10 Years ,"Housing affordability , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,15-30 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Availability of options, Availability of Parking , Safety "
342,26-35 Years ,Male ,Employed Full-Time,"₹15,000 - ₹30,000",5,Fringe,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Going to multiple locations in same trip"
343,26-35 Years ,Male ,Employed Full-Time,"₹15,000 - ₹30,000",6,Fringe,Slum Area ,5-10 Years ,"Housing affordability , Quality of schools/educational institutions , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Cycle  ,15-30 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Availability of Parking , Safety "
344,26-35 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Fringe,Slum Area ,3-5 Years ,"Housing affordability , Quality of schools/educational institutions , Neighborhood safety ",Cycle  ,15-30 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Availability of options"
345,36-45 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",4,Fringe,Slum Area ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Cycle  ,15-30 minutes,More than 15 km,2-3 trips ,Work,"Cost , Convenience "
346,56-65 Years ,Male ,Retired ,"₹30,001 - ₹50,000 ",2,Fringe,Apartment/ flat ,5-10 Years ,"Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Walking,30-45 minutes,5-10 km,1-2 trips ,Work,"Convenience , Safety "
347,26-35 Years ,Female ,Employed Part-Time ,"₹30,001 - ₹50,000 ",5,Fringe,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
348,36-45 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",6,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
349,18-25 Years ,Female ,Employed Part-Time ,"₹15,000 - ₹30,000",5,Fringe,Apartment/ flat ,1-3 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety ",Personal Vehicle (Bike),30-45 minutes,5-10 km,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
350,36-45 Years ,Female ,Homemaker,"Above ₹75,000 ",7,Fringe,Independent House ,More than 10 years ,"Access to public transportation , Quality of schools/educational institutions ",Autorickshaw/ Cab ,More than 45 minutes ,10-15 km ,6 or more trips ,Work,"Cost , Availability of Parking , Safety , Going to multiple locations in same trip"
351,26-35 Years ,Female ,Student ,"₹15,000 - ₹30,000",6,Fringe,Independent House ,5-10 Years ,"Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),15-30 minutes,1-5 km ,2-3 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Going to multiple locations in same trip"
352,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
353,26-35 Years ,Male ,Employed Full-Time,"₹15,000 - ₹30,000",6,Fringe,Row House ,Less than 1 year,Proximity to workplace ,Personal Vehicle (Bike),Less than 10 minutes ,5-10 km,6 or more trips ,Work,Cost 
354,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Leisure ,"Travel time, Safety "
355,18-25 Years ,Female ,Student ,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Shopping ,"Travel time, Convenience , Going to multiple locations in same trip"
356,26-35 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Shopping ,"Cost , Travel time, Availability of options"
357,26-35 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",3,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,1-2 trips ,Shopping ,"Cost , Travel time, Convenience , Safety "
358,18-25 Years ,Male ,Student ,"Above ₹75,000 ",5,Fringe,Independent House ,More than 10 years ,"Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Education,Convenience 
359,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",7,Fringe,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions ",Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,1-2 trips ,Work,"Travel time, Convenience , Safety "
360,36-45 Years ,Female ,Homemaker,"Above ₹75,000 ",6,Fringe,Independent House ,5-10 Years ,"Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Autorickshaw/ Cab ,Less than 10 minutes ,1-5 km ,1-2 trips ,Work,"Cost , Travel time, Availability of options"
361,56-65 Years ,Male ,Retired ,"Above ₹75,000 ",3,Fringe,Independent House ,More than 10 years ,"Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,1-2 trips ,Work,"Cost , Convenience , Unavailability of Public Transport , Availability of Parking , Safety "
362,56-65 Years ,Male ,Retired ,"₹50,001 - ₹75,000 ",4,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Unavailability of Public Transport , Going to multiple locations in same trip"
363,46-55 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Fringe,Independent House ,5-10 Years ,"Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,More than 15 km,2-3 trips ,Work,"Cost , Convenience , Environmental impact , Availability of Parking "
364,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",6,Fringe,Independent House ,5-10 Years ,"Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,1-2 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
365,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Fringe,Independent House ,5-10 Years ,"Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,1-2 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
366,36-45 Years ,Female ,Homemaker,"₹50,001 - ₹75,000 ",5,Fringe,Independent House ,More than 10 years ,Quality of schools/educational institutions ,Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Travel time, Convenience , Going to multiple locations in same trip"
367,18-25 Years ,Male ,Student ,"Above ₹75,000 ",5,Fringe,Independent House ,More than 10 years ,"Proximity to workplace , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,1-5 km ,2-3 trips ,Work,1
368,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
369,18-25 Years ,Male ,Student ,"₹15,000 - ₹30,000",5,Fringe,Independent House ,More than 10 years ,"Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,10-15 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Environmental impact , Safety "
370,18-25 Years ,Female ,Student ,"₹15,000 - ₹30,000",5,Fringe,Independent House ,More than 10 years ,"Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Autorickshaw/ Cab ,10-15 minutes ,1-5 km ,2-3 trips ,Shopping ,"Cost , Travel time, Availability of options, Environmental impact , Availability of Parking , Safety "
371,26-35 Years ,Female ,Employed Full-Time,"₹30,001 - ₹50,000 ",4,Fringe,Independent House ,More than 10 years ,Proximity to workplace ,Personal Vehicle (Bike),10-15 minutes ,5-10 km,4-5 trips ,Shopping ,Cost 
372,18-25 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",7,Fringe,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Education,Convenience 
373,46-55 Years ,Female ,Homemaker,"Above ₹75,000 ",5,Fringe,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Walking,Less than 10 minutes ,1-5 km ,1-2 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Environmental impact , Safety "
374,56-65 Years ,Male ,Retired ,"Above ₹75,000 ",5,Fringe,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,More than 15 km,2-3 trips ,Shopping ,"Cost , Convenience , Availability of Parking , Going to multiple locations in same trip"
375,46-55 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Fringe,Independent House ,More than 10 years ,Access to public transportation ,Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Shopping ,Safety 
376,18-25 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,Quality of schools/educational institutions ,Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Education,Convenience 
377,26-35 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",3,Fringe,Apartment/ flat ,3-5 Years ,Quality of schools/educational institutions ,Personal Vehicle (Bike),10-15 minutes ,1-5 km ,1-2 trips ,Health,Travel time
378,36-45 Years ,Female ,Homemaker,"₹30,001 - ₹50,000 ",4,Fringe,Apartment/ flat ,3-5 Years ,Access to public transportation ,Personal Vehicle (Bike),10-15 minutes ,1-5 km ,1-2 trips ,Shopping ,Convenience 
379,18-25 Years ,Female ,Student ,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,Quality of schools/educational institutions ,Personal Vehicle (Bike),10-15 minutes ,1-5 km ,4-5 trips ,Shopping ,Convenience 
380,26-35 Years ,Male ,Student ,"₹15,000 - ₹30,000",5,Fringe,Apartment/ flat ,1-3 Years ,Quality of schools/educational institutions ,Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Environmental impact , Availability of Parking , Safety "
381,18-25 Years ,Female ,Student ,"Above ₹75,000 ",5,Fringe,Independent House ,More than 10 years ,Quality of schools/educational institutions ,Autorickshaw/ Cab ,15-30 minutes,1-5 km ,2-3 trips ,Education,Convenience 
382,18-25 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Access to public transportation ",Public Transit (City Bus) ,30-45 minutes,10-15 km ,1-2 trips ,Work,"Cost , Travel time, Convenience "
383,26-35 Years ,Male ,Business ,"₹30,001 - ₹50,000 ",6,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Public Transit (City Bus) ,30-45 minutes,10-15 km ,1-2 trips ,Work,"Cost , Travel time, Convenience "
384,36-45 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Public Transit (City Bus) ,15-30 minutes,10-15 km ,1-2 trips ,Health,"Cost , Travel time, Convenience "
385,46-55 Years ,Male ,Business ,"Above ₹75,000 ",7,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Proximity to family/friends ",Autorickshaw/ Cab ,30-45 minutes,More than 15 km,4-5 trips ,Work,"Travel time, Convenience , Safety "
386,36-45 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
387,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
388,26-35 Years ,Female ,Student ,"Below ₹15,000  ",4,Fringe,Independent House ,Less than 1 year,"Housing affordability , Proximity to family/friends ",Autorickshaw/ Cab ,30-45 minutes,5-10 km,2-3 trips ,Education,"Cost , Convenience "
389,26-35 Years ,Female ,Student ,"₹30,001 - ₹50,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Environmental quality (air quality, noise levels) ",Walking,More than 45 minutes ,10-15 km ,6 or more trips ,Education,Environmental impact 
390,26-35 Years ,Female ,Student ,"₹30,001 - ₹50,000 ",3,Fringe,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,4-5 trips ,Work,"Cost , Travel time, Convenience , Unavailability of Public Transport , Availability of Parking , Safety , Going to multiple locations in same trip"
391,56-65 Years ,Male ,Retired ,"₹30,001 - ₹50,000 ",5,Fringe,Independent House ,More than 10 years ,"Housing affordability , Neighborhood safety ",Personal Vehicle (Car) ,Less than 10 minutes ,1-5 km ,1-2 trips ,Health,"Travel time, Convenience "
392,46-55 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",5,Fringe,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,1-2 trips ,Work,"Travel time, Convenience "
393,26-35 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",3,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,1-2 trips ,Work,"Cost , Travel time, Convenience "
394,56-65 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Independent House ,5-10 Years ,"Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,Safety 
395,56-65 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,"Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
396,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,"Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Convenience , Unavailability of Public Transport , Availability of Parking , Safety "
397,56-65 Years ,Male ,Business ,"Above ₹75,000 ",5,Fringe,Independent House ,5-10 Years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety "
398,36-45 Years ,Female ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
399,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Availability of Parking , Safety , Going to multiple locations in same trip"
400,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",6,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Travel time, Convenience , Unavailability of Public Transport , Availability of Parking , Safety "
401,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",5,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety "
402,26-35 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",5,Fringe,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
403,36-45 Years ,Male ,Unemployed,"₹15,000 - ₹30,000",3,Fringe,Apartment/ flat ,5-10 Years ,"Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Unavailability of Public Transport "
404,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",6,Fringe,Independent House ,More than 10 years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,6 or more trips ,Work,"Travel time, Availability of options, Safety , Going to multiple locations in same trip"
405,26-35 Years ,Female ,Employed Part-Time ,"₹15,000 - ₹30,000",4,Fringe,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Environmental impact "
406,56-65 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",6,Fringe,Independent House ,5-10 Years ,"Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety , Going to multiple locations in same trip"
407,26-35 Years ,Female ,Student ,"₹30,001 - ₹50,000 ",4,Fringe,Apartment/ flat ,1-3 Years ,Quality of schools/educational institutions ,Public Transit (City Bus) ,10-15 minutes ,1-5 km ,2-3 trips ,Education,"Availability of options, Safety "
408,26-35 Years ,Female ,Student ,"₹30,001 - ₹50,000 ",8,Fringe,Apartment/ flat ,3-5 Years ,Quality of schools/educational institutions ,Walking,15-30 minutes,1-5 km ,6 or more trips ,Education,Convenience 
409,36-45 Years ,Male ,Business ,"Above ₹75,000 ",5,Fringe,Row House ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,1-2 trips ,Work,"Cost , Travel time, Convenience , Unavailability of Public Transport , Availability of Parking , Safety "
410,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,3-5 Years ,"Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
411,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Fringe,Row House ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,1-2 trips ,Work,"Travel time, Convenience , Availability of Parking , Safety , Going to multiple locations in same trip"
412,36-45 Years ,Male ,Business ,"Above ₹75,000 ",4,Fringe,Row House ,5-10 Years ,"Housing affordability , Quality of schools/educational institutions , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
413,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Fringe,Row House ,5-10 Years ,"Housing affordability , Quality of schools/educational institutions , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,2-3 trips ,Work,"Convenience , Availability of options, Availability of Parking , Safety "
414,56-65 Years ,Male ,Retired ,"₹50,001 - ₹75,000 ",4,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,1-2 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
415,26-35 Years ,Male ,Student ,"Below ₹15,000  ",5,Fringe,Slum Area ,Less than 1 year,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,1-2 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact , Availability of Parking , Safety , Going to multiple locations in same trip"
416,36-45 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Fringe,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),10-15 minutes ,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
417,26-35 Years ,Female ,Unemployed,"Below ₹15,000  ",4,Fringe,Independent House ,1-3 Years ,"Proximity to workplace , Housing affordability ",Walking,30-45 minutes,1-5 km ,4-5 trips ,Education,"Cost , Travel time, Convenience , Availability of options"
418,18-25 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",4,Fringe,Row House ,5-10 Years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety , Going to multiple locations in same trip"
419,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Row House ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Leisure ,"Cost , Travel time, Convenience , Availability of options, Safety "
420,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Fringe,Independent House ,5-10 Years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
421,56-65 Years ,Male ,Business ,"Above ₹75,000 ",8,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,2-3 trips ,Leisure ,"Cost , Travel time, Convenience , Environmental impact , Availability of Parking , Safety "
422,46-55 Years ,Male ,Unemployed,"Below ₹15,000  ",3,Fringe,Slum Area ,5-10 Years ,Housing affordability ,Walking,15-30 minutes,1-5 km ,2-3 trips ,Education,"Cost , Availability of options, Going to multiple locations in same trip"
